epoch	radius	lrate	distance	terror
476	2	0.122	33.153	27.023
477	2	0.122	32.908	27.214
478	2	0.122	33.171	27.177
479	2	0.121	33.091	27.347
480	2	0.121	33.152	27.797
481	2	0.12	32.984	27.247
482	2	0.12	32.933	27.557
483	1	0.12	32.965	27.353
484	1	0.119	37.976	22.98
485	1	0.119	38.369	22.329
486	1	0.118	38.486	22.119
487	1	0.118	38.522	22.005
488	1	0.118	38.49	22.011
489	1	0.117	38.534	21.967
490	1	0.117	38.599	21.893
491	1	0.116	38.629	21.871
492	1	0.116	38.671	21.85
493	1	0.116	38.711	21.838
494	1	0.115	38.695	21.826
495	1	0.115	38.698	21.813
496	1	0.114	38.701	21.815
497	1	0.114	38.698	21.812
498	1	0.114	38.698	21.803
499	1	0.113	38.697	21.801
500	1	0.113	38.696	21.798
501	1	0.113	38.695	21.795
502	1	0.112	38.698	21.775
503	1	0.112	38.701	21.786
504	1	0.111	38.706	21.788
505	1	0.111	38.707	21.783
506	1	0.111	38.706	21.78
507	1	0.11	38.702	21.776
508	1	0.11	38.701	21.772
509	1	0.11	38.697	21.769
510	1	0.109	38.696	21.766
511	1	0.109	38.704	21.762
512	1	0.109	38.715	21.76
513	1	0.108	38.717	21.741
514	1	0.108	38.72	21.735
515	1	0.107	38.71	21.742
516	1	0.107	38.709	21.74
517	1	0.107	38.708	21.737
518	1	0.106	38.707	21.735
519	1	0.106	38.714	21.718
520	1	0.106	38.65	21.732
521	1	0.105	38.685	21.728
522	1	0.105	38.7	21.69
523	1	0.105	38.7	21.681
524	1	0.104	38.703	21.679
525	1	0.104	38.702	21.676
526	1	0.104	38.702	21.674
527	1	0.103	38.701	21.671
528	1	0.103	38.7	21.669
529	1	0.103	38.695	21.654
530	1	0.102	38.696	21.649
531	1	0.102	38.695	21.645
532	1	0.102	38.698	21.65
533	1	0.101	38.698	21.652
534	1	0.101	38.646	21.653
535	1	0.101	38.688	21.643
536	1	0.1	38.68	21.606
537	1	0.1	38.681	21.611
538	1	0.1	38.655	21.603
539	1	0.099	38.656	21.601
540	1	0.099	38.655	21.599
541	1	0.099	38.654	21.597
542	1	0.098	38.653	21.595
543	1	0.098	38.652	21.592
544	1	0.098	38.652	21.59
545	1	0.097	38.651	21.588
546	1	0.097	38.65	21.586
547	1	0.097	38.649	21.584
548	1	0.096	38.649	21.582
549	1	0.096	38.648	21.58
550	1	0.096	38.651	21.58
551	1	0.095	38.65	21.578
552	1	0.095	38.646	21.576
553	1	0.095	38.64	21.575
554	1	0.094	38.656	21.558
555	1	0.094	38.655	21.558
556	1	0.094	38.648	21.568
557	1	0.093	38.647	21.567
